Year,Age3to7Pcodabun,PCod_RA2,PCod_RA3,FHS_TBM,EBS_mean_NBT,EBS_Std_Error,EBS_NBT_3yr_min,EBS_NBT_RA3_final_year,EBS_NBT_RA3_midyear,EBS_NBT_RA2,E166_mean_NBT,E166_Std_Error,E166_NBT_RA3_final_year,E166_NBT_RA3_midyear,E166_NBT_RA2,W166_mean_NBT,W166_Std_Error,W166_NBT_RA3_final_year,W166_NBT_RA3_midyear,W166_NBT_RA2,AO_jfm,AO_RA2,AO_RA3,SE.wind.May.Sep,NW.wind.May.Sep,PDO_jja,PDO_djf,PDO_RA2,PDO_RA3,D.90.May,D.90.June,D.90.July,D.90.May.June,D.90.JJ,D.90.MJ,D.75.May,D.75.June,D.75.July,D.75.May.June,D.75.JJ,D.75.MJ,D.60.May,D.60.June,D.60.July,D.60.May.June,D.60.JJ,D.60.MJ,D.45.May,D.45.June,D.45.July,D.45.May.June,D.45.JJ,D.45.MJ,D.30.May,D.30.June,D.30.July,D.30.May.June,D.30.JJ,D.30.MJ,D.15.May,D.15.June,D.15.July,D.15.May.June,D.15.JJ,D.15.MJ,D.0.May,D.0.June,D.0.July,D.0.May.June,D.0.JJ,D.0.MJ,D.neg.15.May,D.neg.15.June,D.neg.15.July,D.neg.15.May.June,D.neg.15.JJ,D.neg.15.MJ,D.neg.30.May,D.neg.30.June,D.neg.30.July,D.neg.30.May.June,D.neg.30.JJ,D.neg.30.MJ,D.neg.45.May,D.neg.45.June,D.neg.45.July,D.neg.45.May.June,D.neg.45.JJ,D.neg.45.MJ,D.neg.60.May,D.neg.60.June,D.neg.60.July,D.neg.60.May.June,D.neg.60.JJ,D.neg.60.MJ,D.neg.75.May,D.neg.75.June,D.neg.75.July,D.neg.75.May.June,D.neg.75.JJ,D.neg.75.MJ,D.neg.90.May,D.neg.90.June,D.neg.90.July,D.neg.90.May.June,D.neg.90.JJ,D.neg.90.MJ,April.sst,May.sst,June.sst,July.sst,April.May.sst,May.June.sst,June.July.sst,April.July.sst,May.July.sst,April.anom,May.anom,June.anom,July.anom,April.May.anom,May.June.anom,June.July.anom,April.July.anom,May.July.anom
1990,240132,309524.5,368582.3333,574174,2.097068404,0.105076859,2.097068404,2.372839243,2.489765211,2.490916474,3.329113924,0.126061245,3.003993758,3.282335606,3.025818224,1.670175439,0.122592528,2.128171707,2.164057892,2.31348772,2.463333333,2.551666667,1.589777778,0.164301075,0.278924731,-0.33,-0.6,-0.771666667,-0.332222222,1.291486334,-0.368810504,0.555501975,0.208684048,-0.060706345,0.293967145,0.685236596,-0.114457565,0.706941851,0.163696925,0.15934224,0.297281743,0.032289117,0.147695467,0.810204809,0.107554128,0.368531914,0.280337082,-0.622858813,0.399783298,0.858253647,0.044081694,0.552606748,0.244287912,-1.235559943,0.624626558,0.847813918,-0.022394834,0.699022345,0.191590925,-1.764059705,0.80690255,0.779597071,-0.087345191,0.797800724,0.125837332,-2.172341714,0.934189467,0.658251973,-0.146343118,0.842210302,0.051508134,-2.432582225,0.997812915,0.49204809,-0.195368003,0.82922464,-0.026331259,-2.527046277,0.993437062,0.292311943,-0.231078882,0.759728689,-0.10237622,-2.449296301,0.921360115,0.07265522,-0.251042117,0.638458484,-0.171444411,-2.204630831,0.786493999,-0.151952836,-0.253897246,0.473678388,-0.228828948,-1.809723412,0.598029617,-0.366205557,-0.239449698,0.276617892,-0.270619171,-1.291486334,0.368810504,-0.555501975,-0.208684048,0.060706345,-0.293967145,2.044074053,3.485185186,5.846666654,8.405555513,2.76462962,4.66592592,7.126111084,4.945370352,5.912469118,0.084131034,0.107283948,-0.096809131,-0.292744589,0.095707491,0.005237408,-0.19477686,-0.049534685,-0.094089924
1991,233124,236628,284057.6667,518380,2.487462687,0.10999262,2.097068404,2.489765211,2.071847916,2.292265546,3.79537037,0.14271501,3.282335606,3.309272542,3.562242147,1.865198238,0.12839101,2.164057892,1.56651099,1.767686839,-0.226666667,1.118333333,1.625555555,0.215698925,0.077849462,-1.466666667,-1.703333333,-1.151666667,-1.082222222,-0.382224567,-0.758831329,-1.412289648,-0.627837672,-0.976650769,-0.820735699,-0.749057447,-0.883639297,-0.900039288,-0.836828219,-0.889105961,-0.852371924,-1.064843299,-0.948228708,-0.326452739,-0.988790305,-0.740970051,-0.825920412,-1.308061841,-0.948197899,0.269381025,-1.073367966,-0.542338257,-0.743183788,-1.46213813,-0.88354897,0.846856918,-1.084797374,-0.306747007,-0.609800417,-1.516572122,-0.758687639,1.366620911,-1.022299633,-0.050251456,-0.434860155,-1.46765423,-0.582123,1.793251947,-0.890133862,0.209668649,-0.230284893,-1.318718127,-0.365887639,2.097675827,-0.69730694,0.455300183,-0.010016095,-1.079913564,-0.124717641,2.259146566,-0.456959701,0.669903761,0.210935282,-0.767514675,0.124951658,2.266660199,-0.185471414,0.838854505,0.417511769,-0.40281093,0.366105708,2.119704686,0.098656443,0.950638701,0.595635519,-0.010656286,0.58231026,1.828294802,0.376061026,0.99763844,0.733167692,0.382224567,0.758831329,1.412289648,0.627837672,0.976650769,0.820735699,1.498518503,2.718888881,5.449629625,9.152962985,2.108703692,4.084259253,7.301296305,4.704999998,5.773827164,-0.461424516,-0.659012357,-0.49384616,0.454662882,-0.560218437,-0.576429259,-0.019591639,-0.289905038,-0.232731878
1992,341408,287266,271554.6667,603140,1.631012658,0.112713801,1.631012658,2.071847916,2.319972262,2.059237673,2.803333333,0.190219336,3.309272542,3.446869488,3.299351852,1.164159292,0.12557202,1.56651099,1.818703972,1.514678765,0.884666667,0.329,1.040444444,0.163010753,0.144086022,1.19,0.013333333,-0.845,-0.763333333,-2.13710734,1.35508529,1.973835277,0.140409593,1.561335286,0.591251974,-2.253679513,0.263849641,1.870117853,-0.611812673,0.799272378,-0.001501888,-2.216667151,-0.845366925,1.638954988,-1.322340917,-0.017259621,-0.594153399,-2.028592587,-1.896973133,1.296100049,-1.942753812,-0.832615406,-1.146314338,-1.70227279,-2.819303756,0.864918033,-2.430771246,-1.591229826,-1.620355849,-1.259945915,-3.549503488,0.374793283,-2.753135636,-2.241404564,-1.983972787,-0.731755809,-4.037810422,-0.140873009,-2.887878383,-2.738831285,-2.212385258,-0.153697753,-4.250947249,-0.64693904,-2.82581699,-3.049611179,-2.29002733,0.43483455,-4.174389047,-1.108917243,-2.571180839,-3.152565112,-2.211607824,0.993733598,-3.813353129,-1.495324569,-2.141322963,-3.040676942,-1.982470899,1.484911343,-3.192443497,-1.779827997,-1.565537466,-2.721571664,-1.618231859,1.874894833,-2.353974117,-1.943039088,-0.883063178,-2.216995774,-1.143712992,2.13710734,-1.35508529,-1.973835277,-0.140409593,-1.561335286,-0.591251974,1.826296294,3.695925947,6.13185192,7.919629627,2.76111112,4.913888933,7.025740774,4.893425947,5.915802498,-0.133646725,0.318024708,0.188376135,-0.778670476,0.092188992,0.253200422,-0.29514717,-0.101479089,-0.090756544
1993,416518,378963,330350,585400,2.841441441,0.083647411,1.631012658,2.319972262,2.028978953,2.23622705,3.741904762,0.136282276,3.446869488,3.088583639,3.272619048,2.426754386,0.092869973,1.818703972,1.485795889,1.795456839,1.483,1.183833334,0.713666667,0.144946237,0.129677419,1.83,0.023333333,0.018333333,-0.555555556,1.026486339,-1.206372986,3.8933769,-0.429726264,0.493543643,0.633331891,0.241531463,-1.241806647,3.498724241,-0.725862957,0.338370316,0.312969961,-0.559883384,-1.192613238,2.865639307,-0.972533289,0.16013761,-0.028720355,-1.323143103,-1.062145208,2.03726579,-1.152927084,-0.029008209,-0.368453427,-1.996232806,-0.859293737,1.070055976,-1.254750804,-0.216177166,-0.683077006,-2.533282543,-0.597882818,0.029923616,-1.271065331,-0.388614007,-0.951150016,-2.89769326,-0.295727173,-1.01224799,-1.200758855,-0.534567445,-1.154403724,-3.064630971,0.026581791,-1.985436568,-1.048622648,-0.644090995,-1.278986727,-3.022719146,0.347079249,-2.823320924,-0.825024541,-0.709720809,-1.316408897,-2.774814006,0.64392383,-3.468800626,-0.545202374,-0.726984322,-1.264119977,-2.337809877,0.896886066,-3.877887297,-0.228225566,-0.694705055,-1.125683369,-1.741487868,1.088726998,-4.022702358,0.104304436,-0.615082787,-0.9105333,-1.026486339,1.206372986,-3.8933769,0.429726264,-0.493543643,-0.633331891,3.036666645,3.996296322,6.301851864,8.619629524,3.516481483,5.149074093,7.460740694,5.488611089,6.305925903,1.076723626,0.618395084,0.358376079,-0.078670578,0.847559355,0.488385581,0.13985275,0.493706053,0.299366861
1994,393053,404785.5,383659.6667,664396,1.614482759,0.10980774,1.614482759,2.028978953,1.993546703,2.2279621,2.720512821,0.114306288,3.088583639,2.961897815,3.231208792,0.866473988,0.141205603,1.485795889,1.45875974,1.646614187,0.243333333,0.863166667,0.870333333,0.190107527,0.124086022,-0.563333333,0.616666667,0.32,0.217777778,-1.663591725,-0.325477172,1.800210281,-0.790908321,0.383085312,-0.153748009,-1.69652179,-0.290283769,2.081169081,-0.779410037,0.500200514,-0.075988942,-1.613836698,-0.235308007,2.220299647,-0.714796247,0.583227878,0.006948645,-1.421171302,-0.164296393,2.208120462,-0.601470274,0.626509226,0.089412694,-1.131655431,-0.082088251,2.045461517,-0.447155096,0.627095005,0.165783415,-0.765019112,0.005714069,1.743407749,-0.262367037,0.584945296,0.230856271,-0.346248005,0.093126985,1.322543625,-0.059699098,0.502932532,0.280196653,0.096119332,0.174193451,0.811550338,0.147037236,0.386645747,0.310442097,0.531936295,0.243388921,0.245251236,0.343753225,0.244009693,0.319531424,0.931502678,0.295997838,-0.337761332,0.517043,0.084744782,0.306845213,1.267588693,0.328434992,-0.897756023,0.655097149,-0.080295346,0.273248008,1.517290634,0.338489844,-1.396570125,0.74850751,-0.239863479,0.221029403,1.663591725,0.325477172,-1.800210281,0.790908321,-0.383085312,0.153748009,2.085925923,3.417777794,6.068518533,8.476296301,2.751851859,4.743148164,7.272407417,5.012129638,5.987530876,0.125982904,0.039876556,0.125042748,-0.222003801,0.08292973,0.082459652,-0.048480527,0.017224602,-0.019028166
1995,559185,476119,456252,578945,1.524715909,0.098830696,1.524715909,1.993546703,2.140138046,1.569599334,2.423275862,0.154693476,2.961897815,3.116058216,2.571894342,1.083050847,0.116124475,1.45875974,1.602126558,0.974762418,0.556333333,0.399833333,0.760888889,0.202580645,0.117849462,0.64,-1.02,-0.201666667,-0.126666667,-0.335974568,-2.573602122,0.212918649,-1.795296885,-1.644761865,-1.301473393,-0.920901681,-2.590115257,0.228213745,-2.009519231,-1.650672256,-1.459257023,-1.443070866,-2.430116318,0.227956452,-2.086796161,-1.544092062,-1.517594699,-1.866897157,-2.104508968,0.212164303,-2.021861382,-1.332284545,-1.472510804,-2.163497491,-1.63548281,0.181913507,-1.819140091,-1.029684038,-1.32707773,-2.312659047,-1.055001201,0.139265607,-1.492447408,-0.656912265,-1.091206503,-2.304216711,-0.402623004,0.087126985,-1.064046902,-0.239373007,-0.780971356,-2.138745814,0.277193286,0.029050804,-0.563133357,0.194479125,-0.417514301,-1.827522924,0.938119312,-0.031005142,-0.023843205,0.615077827,-0.025604337,-1.391757367,1.535114056,-0.088948139,0.517071822,0.993759991,0.36805052,-0.861145845,2.027493315,-0.140829467,1.022749259,1.304719054,0.736623343,-0.271848657,2.381702255,-0.183113499,1.458728024,1.52676367,1.054996502,0.335974568,2.573602122,-0.212918649,1.795296885,1.644761865,1.301473393,1.338148146,2.920000032,5.597037042,8.32777781,2.129074089,4.258518537,6.962407426,4.545740757,5.614938294,-0.621794873,-0.457901206,-0.346438743,-0.370522293,-0.539848039,-0.402169975,-0.358480518,-0.449164279,-0.391620748
1996,462437,510811,471558.3333,604427,3.28121547,0.083703414,1.524715909,2.140138046,2.478342475,2.40296569,4.204385965,0.126354732,3.116058216,3.347315847,3.313830914,2.856854839,0.096303322,1.602126558,2.057131683,1.969952843,-0.839,-0.141333334,-0.013111111,0.190752688,0.189247312,0.336666667,0.82,-0.1,0.138888889,-2.047732342,-0.43053967,0.48321031,-0.993041469,-0.125956343,-0.630028736,-2.028558184,-0.296634176,-0.238072332,-0.899042526,-0.277113561,-0.736508872,-1.871141138,-0.142513553,-0.943130739,-0.743775322,-0.409385948,-0.792797145,-1.586208917,0.021319133,-1.583916344,-0.537821058,-0.513759359,-0.795057604,-1.193179178,0.183698956,-2.116760668,-0.295215178,-0.583120919,-0.7431362,-0.718836251,0.333559998,-2.50535125,-0.032490871,-0.612743752,-0.640571292,-0.195505821,0.460689477,-2.723206285,0.232447634,-0.60060911,-0.49435251,0.341148008,0.55642373,-2.755479312,0.481545218,-0.547543951,-0.314444421,0.854553164,0.614238625,-2.599970978,0.697826291,-0.457164576,-0.113107464,1.309721933,0.630194173,-2.267278918,0.866551655,-0.33563019,0.09593758,1.675635318,0.60320303,-1.780075546,0.976222956,-0.191223162,0.298444636,1.927356924,0.535104597,-1.171562968,1.019366276,-0.033784592,0.480613183,2.047732342,0.43053967,-0.48321031,0.993041469,0.125956343,0.630028736,2.800740745,4.186666674,6.026666641,8.961481554,3.49370371,5.106666658,7.494074097,5.493888904,6.391604956,0.840797726,0.808765436,0.083190856,0.263181451,0.824781581,0.445978146,0.173186154,0.498983867,0.385045914
1997,366406,414421.5,462676,769783,2.629096045,0.095669352,1.524715909,2.478342475,3.0080086,2.955155758,3.414285714,0.162287126,3.347315847,3.899439232,3.80933584,2.231489362,0.109835217,2.057131683,2.580502919,2.544172101,0.841,0.001,0.186111111,0.151182796,0.201075269,2.103333333,0.233333333,0.526666667,0.011111111,4.184845644,-0.887997993,-1.802331306,0.876469359,-1.192775764,0.217747884,3.352569032,-1.146134187,-1.60233103,0.41863215,-1.298199801,-0.078326009,2.291820381,-1.326163231,-1.293134542,-0.067734148,-1.315153668,-0.369062114,1.074887958,-1.415816442,-0.895813073,-0.549484477,-1.242481985,-0.634647246,-0.215296303,-1.408984102,-0.437443423,-0.993788346,-1.085137209,-0.856982217,-1.490808476,-1.306131824,0.050737274,-1.370367181,-0.853842125,-1.020915266,-2.664724515,-1.114268821,0.535460309,-1.653557758,-0.564359111,-1.115274627,-3.657043983,-0.846470239,0.983692609,-1.824061107,-0.236415956,-1.133629865,-4.400141946,-0.520986109,1.364887883,-1.870257705,0.107638555,-1.074730101,-4.843377508,-0.159997637,1.653068304,-1.788999331,0.444357676,-0.942589257,-4.956544896,0.21189441,1.828594851,-1.58582361,0.750794557,-0.746212513,-4.731931941,0.569346203,1.879505681,-1.27457663,1.006066029,-0.498982619,-4.184845644,0.887997993,1.802331306,-0.876469359,1.192775764,-0.217747884,1.484814839,3.881111057,7.008518537,9.714814769,2.682962948,5.444814797,8.361666653,5.5223148,6.868148121,-0.47512818,0.503209818,1.065042752,1.016514666,0.014040819,0.784126285,1.040778709,0.527409764,0.861589079
1998,286796,326601,371879.6667,675766,3.113714286,0.069106583,2.629096045,3.0080086,2.200830676,2.871405166,4.079646018,0.087881004,3.899439232,2.851786768,3.746965866,2.653164557,0.076801137,2.580502919,1.875053416,2.44232696,-0.839,0.001,-0.279,0.208817204,0.143655914,-0.936666667,1.186666667,0.71,0.746666667,1.494376954,2.583147763,0.410210312,2.204444873,1.858835279,1.763239653,1.31161175,2.192332944,0.524736902,1.885995138,1.636467597,1.551259506,1.039462373,1.652114258,0.603503539,1.43901795,1.302577352,1.233563587,0.696475353,0.999306715,0.641142407,0.893974068,0.879918613,0.831802348,0.306024689,0.278398072,0.63508848,0.28800733,0.397294875,0.373355154,-0.105281052,-0.461482941,0.585754323,-0.337586632,-0.112403853,-0.110535577,-0.509412064,-1.169914653,0.496501976,-0.940174622,-0.614442443,-0.586893491,-0.878827485,-1.798618615,0.373413841,-1.478691266,-1.074607797,-1.023255584,-1.188352265,-2.304749691,0.224878169,-1.916437543,-1.461540405,-1.389884499,-1.416892802,-2.653815885,0.061017421,-2.223581769,-1.748871449,-1.661795083,-1.548874437,-2.822028911,-0.107001563,-2.379192572,-1.917019795,-1.820457078,-1.575302838,-2.797925331,-0.267728567,-2.372665333,-1.954526409,-1.855057932,-1.494376954,-2.583147763,-0.410210312,-2.204444873,-1.858835279,-1.763239653,2.730370388,3.321481497,5.69555559,9.188148198,3.025925943,4.508518544,7.441851894,5.233888918,6.068395095,0.770427369,-0.056419741,-0.247920195,0.489848096,0.357003814,-0.152169968,0.12096395,0.238983882,0.061836053
1999,433837,360316.5,362346.3333,387995,0.859681698,0.076930318,0.859681698,2.200830676,2.047618481,1.986697992,1.061428571,0.117391071,2.851786768,2.60364251,2.570537295,0.740506329,0.100211742,1.875053416,1.757434455,1.696835443,-0.299333333,-0.569166667,-0.099111111,0.177204301,0.183010753,-2.016666667,-0.976666667,0.105,0.147777778,-0.927576117,-0.078852177,0.32887698,-0.374060504,0.057057542,-0.201207024,-0.971906314,-0.309107368,0.213410347,-0.539646132,-0.134934796,-0.354468309,-0.950002703,-0.518297402,0.083400151,-0.668455767,-0.317731551,-0.483573164,-0.863357977,-0.692166324,-0.052293627,-0.751711247,-0.478875425,-0.579723308,-0.717876832,-0.818865256,-0.184423681,-0.783738847,-0.607384731,-0.636366266,-0.523473567,-0.889759873,-0.303985566,-0.762355941,-0.694501771,-0.649641914,-0.293396443,-0.900018826,-0.402831337,-0.689019736,-0.734289663,-0.61864554,-0.043324837,-0.848942983,-0.474224818,-0.568727976,-0.724036928,-0.545489494,0.209699285,-0.740013078,-0.513300661,-0.409678343,-0.664442273,-0.435159241,0.448432747,-0.580652506,-0.517395913,-0.222709809,-0.559566975,-0.295173605,0.656606259,-0.381721424,-0.486231488,-0.020563969,-0.416558112,-0.135072375,0.82003314,-0.156776658,-0.421931191,0.182983271,-0.245161502,0.034233814,0.927576117,0.078852177,-0.32887698,0.374060504,-0.057057542,0.201207024,1.171481484,2.521851873,5.165185195,7.918888869,1.846666679,3.843518534,6.542037032,4.194351855,5.201975312,-0.788461535,-0.856049365,-0.77829059,-0.779411234,-0.82225545,-0.817169978,-0.778850912,-0.800553181,-0.80458373
2000,384356,409096.5,368329.6667,384592,2.169459459,0.07506558,0.859681698,2.047618481,1.826843349,1.514570579,2.669852941,0.12444351,2.60364251,2.345455419,1.865640756,1.878632479,0.088926234,1.757434455,1.551420925,1.309569404,0.633,0.166833334,-0.168444444,0.14344086,0.144086022,-1.276666667,-1.8,-1.388333334,-0.53,-1.119216738,0.05052282,0.988085299,-0.356343113,0.363043646,-0.025745963,-1.240971365,-0.486985953,0.64711315,-0.749241749,-0.108952919,-0.40587579,-1.278155845,-0.991307438,0.26204131,-1.091080797,-0.573524522,-0.758345853,-1.228236117,-1.428072959,-0.140888212,-1.358564492,-0.999011377,-1.059135899,-1.094614126,-1.767517668,-0.534216436,-1.533464262,-1.356417257,-1.287747584,-0.886395992,-1.986508969,-0.891138692,-1.603860977,-1.621385543,-1.428601399,-0.617771436,-2.070122966,-1.187331319,-1.564957217,-1.775859084,-1.472098389,-0.307046778,-2.012661505,-1.402609279,-1.419404208,-1.809310763,-1.415274308,0.024602611,-1.818040488,-1.522301735,-1.177121149,-1.719460903,-1.262001621,0.354575373,-1.499523016,-1.538251843,-0.854619228,-1.512432625,-1.022725609,0.660384409,-1.078815528,-1.449372629,-0.47387642,-1.202334562,-0.713752537,0.921189339,-0.584588546,-1.261721067,-0.060839716,-0.810299386,-0.356138409,1.119216738,-0.05052282,-0.988085299,0.356343113,-0.363043646,0.025745963,1.874814821,3.242222241,6.590370372,8.837407395,2.558518531,4.916296307,7.713888884,5.136203707,6.223333336,-0.085128199,-0.135678998,0.646894587,0.139107292,-0.110403598,0.255607795,0.39300094,0.141298671,0.216774294
2001,342999,363677.5,387064,503943,2.451388889,0.074196371,0.859681698,1.826843349,2.568227988,2.310424174,3.305084746,0.081736969,2.345455419,3.265812562,2.987468844,2.035123967,0.091782997,1.551420925,2.211932421,1.956878223,-1.090333333,-0.228666667,-0.252222222,0.235268817,0.091827957,-1.703333333,0.156666667,-0.821666667,-0.873333333,-3.670349493,0.04458532,1.507376954,-1.247565919,0.532182531,-0.570120951,-3.148897428,0.356119038,2.13525306,-0.863017124,0.949163712,-0.12573757,-2.412853206,0.643383833,2.617615199,-0.419655137,1.301460955,0.327214618,-1.512377027,0.886803083,2.921591189,0.052305653,1.565065785,0.75786767,-0.508834852,1.069788168,3.026465566,0.5207019,1.722013967,1.136873294,0.529383578,1.179868957,2.925091317,0.953613173,1.761609744,1.438402881,1.531525391,1.209543627,2.624376929,1.321537284,1.681154728,1.641907688,2.429296279,1.156789898,2.14481559,1.599400813,1.486131795,1.733519201,3.161514641,1.025202848,1.519088613,1.76826782,1.189831436,1.706994244,3.678281005,0.823749919,0.789838257,1.816630297,0.812446032,1.564140451,3.944378597,0.566159794,0.006761729,1.741192421,0.379693772,1.314693071,3.941673306,0.269986815,-0.776775599,1.54709516,-0.07893399,0.97565153,3.670349493,-0.04458532,-1.507376954,1.247565919,-0.532182531,0.570120951,3.141481488,3.962592655,6.090370372,8.696296286,3.552037071,5.026481514,7.393333329,5.4726852,6.249753104,1.181538469,0.584691416,0.146894587,-0.002003817,0.883114943,0.365793002,0.072445385,0.477780164,0.243194062
2002,438619,390809,388658,548401,3.083835616,0.071309267,2.169459459,2.568227988,3.072958577,2.767612253,3.8225,0.087347005,3.265812562,3.811715924,3.563792373,2.722040816,0.088583985,2.211932421,2.713812992,2.378582392,1.194,0.051833334,0.245555556,0.176989247,0.143655914,-0.593333333,-1.016666667,-0.43,-0.886666667,-1.796090841,-5.82145551,-4.256247203,-4.421328669,-5.299719408,-4.380734866,-1.687675506,-4.824798459,-3.317182975,-3.733625258,-4.322259964,-3.631221418,-1.464247874,-3.499339365,-2.152058209,-2.791481455,-3.050245646,-2.634246231,-1.14103417,-1.935406077,-0.840274233,-1.659102805,-1.570362129,-1.457751517,-0.740060872,-0.239578063,0.528773043,-0.41365904,0.016538973,-0.181913446,-0.288653649,1.4725768,1.86178531,0.859974905,1.60231297,1.106321726,0.182424843,3.084377988,3.067919985,2.075002981,3.078891987,2.3191629,0.641071384,4.485983913,4.064980984,3.148623033,4.345649603,3.373956956,1.056029969,5.581877448,4.785020245,4.007669629,5.31625838,4.19882142,1.399021857,6.297375259,5.178968285,4.593600163,5.924572934,4.737543144,1.646672718,6.583717353,5.219978195,4.866484436,6.129137634,4.953409131,1.782105554,6.42138999,4.905255217,4.807725838,5.916011732,4.831708472,1.796090841,5.82145551,4.256247203,4.421328669,5.299719408,4.380734866,2.127037044,4.196666656,6.76518518,9.815185194,3.16185185,5.480925918,8.290185187,5.726018518,6.92567901,0.167094025,0.818765417,0.821709394,1.116885091,0.492929721,0.820237406,0.969297243,0.731113482,0.919119968
2003,450210,444414.5,410609.3333,509156,3.683651226,0.068757611,2.451388889,3.072958577,3.331876306,3.383743421,4.307563025,0.096404229,3.811715924,4.088732493,4.065031513,3.384274194,0.084363254,2.713812992,2.965667756,3.053157505,0.196333333,0.695166667,0.1,0.183655914,0.176989247,0.193333333,1.416666667,0.2,0.185555556,-4.212497115,-3.77478838,-1.608746974,-3.927034896,-3.052774578,-3.356964096,-3.671530219,-4.146710087,-2.946591648,-3.981430133,-3.746670607,-3.726961653,-2.880354605,-4.236040354,-4.083630971,-3.764497485,-4.185237226,-3.842972932,-1.892887586,-4.036691472,-4.942377592,-3.291020555,-4.338586845,-3.697091957,-0.776423405,-3.562248737,-5.464309347,-2.593266013,-4.19626894,-3.299260275,0.392952747,-2.845044637,-5.613857451,-1.718784677,-3.767982242,-2.676589458,1.535549819,-1.933955447,-5.380830447,-0.727171006,-3.08291378,-1.871513492,2.573501709,-0.891070389,-4.78110874,0.313998167,-2.187749839,-0.938896974,3.43607371,0.212539643,-3.855562374,1.333768884,-1.143494363,0.05770382,4.064482966,1.30166545,-2.667265803,2.262645455,-0.021311634,1.050372195,4.415904425,2.302084907,-1.297199476,3.037326479,1.102323446,1.971459441,4.466389295,3.145621083,0.161268852,3.605018722,2.150837006,2.758194983,4.212497115,3.77478838,1.608746974,3.927034896,3.052774578,3.356964096,3.138518506,4.912222226,7.10333335,9.832222267,4.025370366,6.007777788,8.467777809,6.246574087,7.282592614,1.178575486,1.534320988,1.159857565,1.133922165,1.356448237,1.347089276,1.146889865,1.251669051,1.276033572
