Year,Age3to7Pcodabun,Age3to7Pcodabun_RA3_end,Age3to7Pcodabun_RA3_mid,FHS_TBM,EBS_mean_NBT,EBS_NBT_RA3_final_year,EBS_NBT_RA3_midyear,EBS_NBT_RA2,AO_jfm,SE.wind.May.Sep,NW.wind.May.Sep,PDO_jja,PDO_djf,ice.area.jfma
1982,601808,538369.3333,550422.6667,192037,2.243916914,2.856510292,2.945105378,2.922786272,0.387,0.118064516,0.23483871,-0.316666667,0.17,-75967.5
1983,494644,550422.6667,491012.6667,252612,2.98974359,2.945105378,2.487231729,2.616830252,-0.339,0.149892473,0.104086022,1.85,0.51,39875.5
1984,376586,491012.6667,468297.6667,270794,2.228034682,2.487231729,2.51248523,2.608889136,-0.596,0.175053763,0.106236559,-0.156666667,1.456666667,49979.75
1985,533663,468297.6667,439251,252046,2.319677419,2.51248523,2.112900158,2.273856051,-1.233,0.137849462,0.150752688,0.25,0.61,-65590.5
1986,407504,439251,500499,344002,1.790988372,2.112900158,2.416149961,2.055332896,-0.512666667,0.110537634,0.215913978,0.493333333,0.946666667,-20182.75
1987,560330,500499,484844,379394,3.137784091,2.416149961,2.355152415,2.464386232,-1.456666667,0.249247312,0.156989247,1.056666667,1.546666667,-19997.25
1988,486698,484844,475315,538770,2.136684783,2.355152415,2.719744472,2.637234437,-0.334,0.170107527,0.228172043,-0.273333333,0.546666667,54326
1989,378917,475315,368582.3333,502310,2.884764543,2.719744472,2.372839243,2.510724663,2.64,0.124516129,0.149247312,0.076666667,-0.943333333,-125403
1990,240132,368582.3333,284057.6667,574174,2.097068404,2.372839243,2.489765211,2.490916474,2.463333333,0.164301075,0.278924731,-0.33,-0.6,73248
1991,233124,284057.6667,271554.6667,518380,2.487462687,2.489765211,2.071847916,2.292265546,-0.226666667,0.215698925,0.077849462,-1.466666667,-1.703333333,94273.75
1992,341408,271554.6667,330350,603140,1.631012658,2.071847916,2.319972262,2.059237673,0.884666667,0.163010753,0.144086022,1.19,0.013333333,85779.75
1993,416518,330350,383659.6667,585400,2.841441441,2.319972262,2.028978953,2.23622705,1.483,0.144946237,0.129677419,1.83,0.023333333,-6670.75
1994,393053,383659.6667,456252,664396,1.614482759,2.028978953,1.993546703,2.2279621,0.243333333,0.190107527,0.124086022,-0.563333333,0.616666667,30040.75
1995,559185,456252,471558.3333,578945,1.524715909,1.993546703,2.140138046,1.569599334,0.556333333,0.202580645,0.117849462,0.64,-1.02,136191.75
1996,462437,471558.3333,462676,604427,3.28121547,2.140138046,2.478342475,2.40296569,-0.839,0.190752688,0.189247312,0.336666667,0.82,-127824
1997,366406,462676,371879.6667,769783,2.629096045,2.478342475,3.0080086,2.955155758,0.841,0.151182796,0.201075269,2.103333333,0.233333333,-11795.75
1998,286796,371879.6667,362346.3333,675766,3.113714286,3.0080086,2.200830676,2.871405166,-0.839,0.208817204,0.143655914,-0.936666667,1.186666667,98003
1999,433837,362346.3333,368329.6667,387995,0.859681698,2.200830676,2.047618481,1.986697992,-0.299333333,0.177204301,0.183010753,-2.016666667,-0.976666667,126510.25
2000,384356,368329.6667,387064,384592,2.169459459,2.047618481,1.826843349,1.514570579,0.633,0.14344086,0.144086022,-1.276666667,-1.8,93893.5
2001,342999,387064,388658,503943,2.451388889,1.826843349,2.568227988,2.310424174,-1.090333333,0.235268817,0.091827957,-1.703333333,0.156666667,-120554.25
2002,438619,388658,410609.3333,548401,3.083835616,2.568227988,3.072958577,2.767612253,1.194,0.176989247,0.143655914,-0.593333333,-1.016666667,38037.75
2003,450210,410609.3333,409688.6667,509156,3.683651226,3.072958577,3.331876306,3.383743421,0.196333333,0.183655914,0.176989247,0.193333333,1.416666667,-100988.5
2004,340237,409688.6667,365599.6667,604186,3.228142077,3.331876306,3.38996193,3.455896652,-0.967333333,0.190322581,0.228172043,0.056666667,-0.453333333,-80802.5
2005,306352,365599.6667,306639,605350,3.258092486,3.38996193,2.780244854,3.243117282,-0.754666667,0.208602151,0.143870968,0.18,-0.266666667,-76915.5
2006,273328,306639,270250.6667,621390,1.8545,2.780244854,2.275696267,2.556296243,-0.642,0.295483871,0.091182796,-0.083333333,0.273333333,48311.25
2007,231072,270250.6667,245656.3333,552114,1.714496314,2.275696267,1.619632597,1.784498157,0.633333333,0.260860215,0.170107527,0.15,-0.606666667,1752.75
2008,232569,245656.3333,299135,535359,1.289901478,1.619632597,1.486150615,1.502198896,0.781,0.254623656,0.098064516,-1.886666667,-1.276666667,154580.5
2009,433764,299135,351770,412163,1.454054054,1.486150615,1.424643448,1.371977766,0.083,0.190107527,0.175913978,-0.643333333,-1.633333333,159213.75
2010,388977,351770,487380,488626,1.529974811,1.424643448,1.826153082,1.492014433,-2.430666667,0.091182796,0.209892473,-1.663333333,-0.07,146505.25
2011,639399,487380,492430.3333,576498,2.49443038,1.826153082,1.665533023,2.012202596,0.44,0.164516129,0.183655914,-1.916666667,-1.766666667,-26434.5
2012,448915,492430.3333,530028.6667,374842,0.972193878,1.665533023,1.701230308,1.733312129,0.261233333,0.280860215,0.064946237,-2.21,-1.866666667,274784
2013,501772,530028.6667,522627,485486,1.637066667,1.701230308,1.875975737,1.304630273,-1.603333333,0.183010753,0.138064516,-1.36,-1.276666667,154149.25
2014,617194,522627,546588.3333,509801,3.018666667,1.875975737,2.596444445,2.327866667,0.094933333,0.26172043,0.130107527,0.103333333,-0.676666667,-68955.25
2015,520799,546588.3333,596714.3333,382173,3.1336,2.596444445,3.454311111,3.076133334,1.323333333,0.223010753,0.194408602,1.066666667,1.626666667,-148320
2016,652150,596714.3333,543034.6667,433469,4.210666667,3.454311111,3.372139522,3.672133334,-0.397833333,0.215698925,0.124086022,0.263333333,0.77,-100872.5
2017,456155,543034.6667,484538.6667,531291,2.772151899,3.372139522,3.714095078,3.491409283,0.884,0.223010753,0.104731183,-0.236666667,0.18,-175390
2018,345311,484538.6667,343700.6667,484890,4.159466667,3.714095078,3.7619173,3.465809283,-0.369666667,0.202795699,0.182795699,-0.29,0.1,-377769.25
