"","Lag3_recruits","ReproductiveFemales","logRS","Ovig_female_CO","Pcod_lag1","PCod_RA2","PCod_RA3","FHS_lag2","FHS_RA2","NBT_3RA","SE.wind","AO_jfm","AO_RA2","AO_RA3","PDO_djf","PDO_RA2","PDO_RA3","SST_May_July","NE.wind"
"Lag3_recruits",1,-0.577927532675214,0.923947973368399,-0.441290246999515,0.152432641779094,0.435607949839312,0.219140149749198,-0.444886672094441,-0.545988057727848,-0.121433204003818,-0.0837424910331698,-0.422798702981565,-0.395705946301628,-0.474490653695053,0.531315906853056,0.667020677508273,0.665136689814469,-0.452708244345967,0.226750690299193
"ReproductiveFemales",-0.577927532675214,1,-0.802995490444198,0.245072486292163,-0.10855886718655,-0.375516529830258,-0.223405959718793,0.172541418206167,0.205088304112975,-0.23144582966131,0.172716904108535,0.404054475936432,0.340104719327906,0.553917898792357,-0.551261864925098,-0.531780554005241,-0.706933016979206,0.165532097403197,-0.297159618631217
"logRS",0.923947973368399,-0.802995490444198,1,-0.393508685917816,0.0719873663054481,0.407544546750802,0.14929961075359,-0.327039372363615,-0.441499113570872,-0.0171212693674143,-0.0445126580221446,-0.469415722326579,-0.391762773527623,-0.510643919978966,0.589982797775403,0.664624789572121,0.759149848704167,-0.366655640761523,0.272960385596569
"Ovig_female_CO",-0.441290246999515,0.245072486292163,-0.393508685917816,1,-0.32105565942713,-0.381547983509845,-0.412084428965409,0.647684975330268,0.722513360650767,0.24571348226494,0.21269358235805,0.365410814942917,0.493337058342914,0.453539170679499,-0.610992177137628,-0.635048173523296,-0.611784465352538,-0.0788360271623119,0.114318986140007
"Pcod_lag1",0.152432641779094,-0.10855886718655,0.0719873663054481,-0.32105565942713,1,0.813263440014407,0.883733773662157,-0.360608882169432,-0.348618675854026,0.289919527054534,-0.220910080943979,-0.519821264394564,-0.670691107733638,-0.550537429656043,0.197954109580777,0.485770409848206,0.318969744855228,0.141714823869524,0.0736962180411524
"PCod_RA2",0.435607949839312,-0.375516529830258,0.407544546750802,-0.381547983509845,0.813263440014407,1,0.900681945646304,-0.467959907811611,-0.351656337272647,0.102080048797937,-0.0364761209179918,-0.598892038399873,-0.648253371985157,-0.578468419234331,0.415852597991745,0.664678068268304,0.46209318042445,0.129057499276087,-0.0949370523785077
"PCod_RA3",0.219140149749198,-0.223405959718793,0.14929961075359,-0.412084428965409,0.883733773662157,0.900681945646304,1,-0.477049257169418,-0.388786367916526,0.212663448855513,-0.231990363881383,-0.541055206016461,-0.663552863824355,-0.590785234941878,0.311902785060264,0.542777370599574,0.315951313214298,0.161489642605168,-0.0804992956761029
"FHS_lag2",-0.444886672094441,0.172541418206167,-0.327039372363615,0.647684975330268,-0.360608882169432,-0.467959907811611,-0.477049257169418,1,0.967860508698763,-0.44794427921426,0.110842267536094,0.527389593048214,0.569424217581267,0.668661645558973,-0.588112880653333,-0.605635048303285,-0.574829402309627,-0.38252006509334,0.0758693554118178
"FHS_RA2",-0.545988057727848,0.205088304112975,-0.441499113570872,0.722513360650767,-0.348618675854026,-0.351656337272647,-0.388786367916526,0.967860508698763,1,-0.327592147212642,0.27362862569562,0.574041052706008,0.665245028583322,0.719643794737093,-0.566745513826167,-0.710849734844938,-0.707298244453615,-0.0524907000665831,0.0328896074426156
"NBT_3RA",-0.121433204003818,-0.23144582966131,-0.0171212693674143,0.24571348226494,0.289919527054534,0.102080048797937,0.212663448855513,-0.44794427921426,-0.327592147212642,1,-0.129995031806204,-0.530603748021686,-0.537021172765283,-0.646819525332432,-0.0277082807224258,-0.00390304850675761,0.161937637636038,0.325880456745269,0.425671180930253
"SE.wind",-0.0837424910331698,0.172716904108535,-0.0445126580221446,0.21269358235805,-0.220910080943979,-0.0364761209179918,-0.231990363881383,0.110842267536094,0.27362862569562,-0.129995031806204,1,-0.181900918496961,-0.0354640812927491,0.054436181256119,0.174372810319006,0.0151915429247261,-0.0107000574264514,0.0739239067754443,0.0961343431572745
"AO_jfm",-0.422798702981565,0.404054475936432,-0.469415722326579,0.365410814942917,-0.519821264394564,-0.598892038399873,-0.541055206016461,0.527389593048214,0.574041052706008,-0.530603748021686,-0.181900918496961,1,0.86439221634341,0.880634755832975,-0.489667490103181,-0.60709936070915,-0.640522619124283,-0.0386218631727601,-0.283835961530052
"AO_RA2",-0.395705946301628,0.340104719327906,-0.391762773527623,0.493337058342914,-0.670691107733638,-0.648253371985157,-0.663552863824355,0.569424217581267,0.665245028583322,-0.537021172765283,-0.0354640812927491,0.86439221634341,1,0.913247590537088,-0.429102202858909,-0.623569993512096,-0.612165407534493,-0.0564633326991143,-0.221198012824994
"AO_RA3",-0.474490653695053,0.553917898792357,-0.510643919978966,0.453539170679499,-0.550537429656043,-0.578468419234331,-0.590785234941878,0.668661645558973,0.719643794737093,-0.646819525332432,0.054436181256119,0.880634755832975,0.913247590537088,1,-0.536410381078375,-0.682890564472541,-0.727568302886039,-0.0611460887478564,-0.306052798141509
"PDO_djf",0.531315906853056,-0.551261864925098,0.589982797775403,-0.610992177137628,0.197954109580777,0.415852597991745,0.311902785060264,-0.588112880653333,-0.566745513826167,-0.0277082807224258,0.174372810319006,-0.489667490103181,-0.429102202858909,-0.536410381078375,1,0.793913567093139,0.771458912556659,0.137240588458942,0.218957399515029
"PDO_RA2",0.667020677508273,-0.531780554005241,0.664624789572121,-0.635048173523296,0.485770409848206,0.664678068268304,0.542777370599574,-0.605635048303285,-0.710849734844938,-0.00390304850675761,0.0151915429247261,-0.60709936070915,-0.623569993512096,-0.682890564472541,0.793913567093139,1,0.897978223662999,0.0489678456508182,-0.0427293529338145
"PDO_RA3",0.665136689814469,-0.706933016979206,0.759149848704167,-0.611784465352538,0.318969744855228,0.46209318042445,0.315951313214298,-0.574829402309627,-0.707298244453615,0.161937637636038,-0.0107000574264514,-0.640522619124283,-0.612165407534493,-0.727568302886039,0.771458912556659,0.897978223662999,1,0.00544321017533861,0.11534585868528
"SST_May_July",-0.452708244345967,0.165532097403197,-0.366655640761523,-0.0788360271623119,0.141714823869524,0.129057499276087,0.161489642605168,-0.38252006509334,-0.0524907000665831,0.325880456745269,0.0739239067754443,-0.0386218631727601,-0.0564633326991143,-0.0611460887478564,0.137240588458942,0.0489678456508182,0.00544321017533861,1,-0.353116861537291
"NE.wind",0.226750690299193,-0.297159618631217,0.272960385596569,0.114318986140007,0.0736962180411524,-0.0949370523785077,-0.0804992956761029,0.0758693554118178,0.0328896074426156,0.425671180930253,0.0961343431572745,-0.283835961530052,-0.221198012824994,-0.306052798141509,0.218957399515029,-0.0427293529338145,0.11534585868528,-0.353116861537291,1
